"","ID_chat","Saison","Annee","akde","Session","Age","Sex","Type_GPS","Outdoor_access","sum.DRR","sum.RR","mean.TM","mean.FXY","Monitoring_time","Outdoor_access2","Saison2","daily.RR","buffer100","buffer250","buffer500","id_owner"
"1","1","ete","2020",4224.47835932366,1,10,"M","blanc","demande",214,2,18.3875,7.4375,7,"restricted","summer",0.285714285714286,0.738019169329074,0.906361323155216,0.947535973513307,1
"2","1","hiver","2020",5295.75246316295,1,10,"M","blanc","demande",1842,22.4,8.77777777777778,9.41111111111111,8,"restricted","winter",2.8,0.738019169329074,0.906361323155216,0.947535973513307,1
"3","1","printemps","2021",3352.08900161437,1,11,"M","blanc","demande",587,3.8,10.91,6.64,9,"restricted","spring",0.422222222222222,0.738019169329074,0.906361323155216,0.947535973513307,1
"4","11","automne","2016",9887.576,0,5,"M","blanc","demande_jour_nuit",NA,NA,NA,NA,10,"restricted","fall",NA,0.292207792207792,0.511983681795003,0.722647283856159,2
"5","11","hiver","2017",596.7609,0,5,"M","blanc","demande_jour_nuit",2117,50.7,8.34615384615385,7.17692307692308,12,"restricted","winter",4.225,0.292207792207792,0.511983681795003,0.722647283856159,2
"6","12","hiver","2017",639.1613,0,1,"F","blanc","libre",271,1.2,9.37142857142857,5.91428571428571,6,"unrestricted","winter",0.2,0.311111111111111,0.609892911779704,0.745542536933265,3
"7","12","automne","2016",1723.572,0,1,"F","blanc","libre",NA,7.7,5.52,5.97,9,"unrestricted","fall",0.855555555555556,0.311111111111111,0.609892911779704,0.745542536933265,3
"8","13","automne","2016",1460.64,0,10,"F","blanc","libre",NA,8.3,7.58888888888889,7.55555555555556,8,"unrestricted","fall",1.0375,0.311111111111111,0.609892911779704,0.745542536933265,3
"9","14","automne","2016",3013.056,0,12,"F","blanc","libre",NA,20.7,10,9.7,8,"unrestricted","fall",2.5875,0.311111111111111,0.609892911779704,0.745542536933265,3
"10","14","hiver","2017",853.2703,0,12,"F","blanc","libre",34,0.8,9.6625,5.125,7,"unrestricted","winter",0.114285714285714,0.311111111111111,0.609892911779704,0.745542536933265,3
"11","15","ete","2020",9367.28483464895,1,4,"M","blanc","libre",NA,0.8,20.3363636363636,5.35454545454545,10,"unrestricted","summer",0.08,1,0.15482881962187,0.293645740481345,4
"12","15","automne","2016",6885.313,0,4,"M","blanc","libre",NA,0.8,4.39,5.53,9,"unrestricted","fall",0.0888888888888889,1,0.15482881962187,0.293645740481345,4
"13","16","hiver","2017",1529.115,0,11,"F","blanc","demande",1075,26.4,7.68,9.66,9,"restricted","winter",2.93333333333333,1,0.469418960244648,0.705859872611465,5
"14","16","automne","2016",1737.402,0,11,"F","blanc","demande",NA,8.3,8.5375,7.725,7,"restricted","fall",1.18571428571429,1,0.469418960244648,0.705859872611465,5
"15","17","automne","2016",1867.871,0,8,"F","blanc","libre",NA,42.6,6.14444444444444,6.47777777777778,8,"unrestricted","fall",5.325,0.661392405063291,0.888776028440833,0.944649446494465,6
"16","17","hiver","2017",1761.946,0,8,"F","blanc","libre",266,7,8.05714285714286,9.8,6,"unrestricted","winter",1.16666666666667,0.661392405063291,0.888776028440833,0.944649446494465,6
"17","18","automne","2021",1612.96340476005,1,10,"F","blanc","libre",1572,24.9,9.93333333333333,7.6,8,"unrestricted","fall",3.1125,1,0.065206316861946,0.158069035791619,7
"18","18","ete","2020",1206.35326118305,1,9,"F","blanc","libre",214,2,18.3875,7.4375,7,"unrestricted","summer",0.285714285714286,1,0.065206316861946,0.158069035791619,7
"19","18","ete","2021",5447.53106607807,1,10,"F","blanc","libre",1613,60.6,19.0111111111111,6.76666666666667,8,"unrestricted","summer",7.575,1,0.065206316861946,0.158069035791619,7
